Rank,Symbol,Name,Average Price,Current Price,Max Daily Fluctuation %,Min Daily Fluctuation %,Avg Daily Fluctuation %,Year High,Year Low,Yearly Range %,Total Days,Token
1040,TSC-SM,"TSC INDIA",66.34,64.00,13.34,0.00,4.46,79.30,58.65,31.13,49,194011649
1041,SMSPHARMA,"SMS PHARMACEUTICALS",243.07,274.42,18.93,1.21,4.46,359.90,176.05,75.64,250,3668225
1042,VIKRAMSOLR,"VIKRAM SOLAR",337.68,326.25,13.47,1.45,4.46,407.95,312.50,28.27,32,194419969
1043,GTLINFRA,"GTL INFRA.LTD",1.72,1.50,19.46,0.65,4.46,2.49,1.28,70.17,250,3518721
1044,IDEA,"VODAFONE IDEA",7.68,9.04,13.33,1.13,4.45,10.47,6.12,56.63,250,3677697
1045,UNITECH,"UNITECH",8.01,7.40,10.39,0.00,4.45,12.10,5.50,82.40,250,920065
1046,RACE,"RACE ECO CHAIN",287.77,224.95,17.68,1.10,4.45,404.85,210.00,67.71,250,3940097
1047,DEEPAKFERT,"DEEPAK FERTILIZERS & PETR",1322.78,1493.00,17.67,1.06,4.45,1778.60,888.90,67.26,250,211713
1048,STEELXIND,"STEEL EXCHANGE INDIA",9.67,10.67,13.42,1.08,4.45,12.85,7.06,59.88,250,5462785
1049,GMDCLTD,"GUJARAT MINERAL DEV CORP",366.34,602.50,15.63,1.41,4.45,651.00,226.59,115.85,250,1332225
1050,ECOLINE-ST,"ECOLINE EXIM",137.77,140.00,5.61,2.80,4.45,141.50,132.00,6.90,8,194550785
1051,SUNTECH-SM,"SUNTECH INFRA SOLUTIONS L",72.77,49.35,11.99,0.00,4.45,110.00,48.05,85.14,70,193987329
1052,MAITREYA-SM,"MAITREYA MEDICARE",295.15,250.50,19.16,0.00,4.45,393.95,214.45,60.82,238,5071105
1053,1035UCL26-NA,"1035UCL26-NA",711.35,680.00,35.92,0.00,4.45,925.00,440.00,68.18,139,5846785
1054,JPPOWER,"JAIPRAKASH POWER VEN.",17.27,18.48,16.97,1.31,4.44,27.70,12.36,88.84,250,3011329
1055,KAYNES,"KAYNES TECHNOLOGY IND",5843.42,7096.50,14.96,1.15,4.44,7822.00,3825.15,68.40,250,3095553
1056,ROTO,"ROTO PUMPS",86.27,73.72,14.62,1.31,4.44,109.65,58.40,59.41,250,2316545
1057,VIJAYA,"VIJAYA DIAGNOSTIC CEN",1028.74,981.50,19.21,1.06,4.44,1275.00,740.00,52.01,250,1429761
1058,AGI,"AGI GREENPAC",880.48,877.45,31.57,1.39,4.44,1307.90,599.10,80.50,250,361473
1059,DCM,"DCM",101.69,97.25,17.60,1.32,4.44,141.88,83.00,57.90,250,206081
1060,SCML-SM,"SHARP CHUCKS N MACHINES L",101.43,104.50,22.01,0.00,4.44,148.00,68.05,78.82,220,4984065
1061,AFSL,"ABANS FINANCIAL SRVCS",242.07,202.80,17.78,0.00,4.43,418.50,165.49,104.52,250,3401729
1062,KALANA-SM,"KALANA ISPAT",41.79,32.70,29.40,0.00,4.43,55.00,30.10,59.58,235,6513409
1063,VPRPL,"VISHNU PRAKASH R PUNGLI L",199.08,97.20,15.76,1.12,4.43,345.75,88.00,129.47,250,4695297
1064,DCXINDIA,"DCX SYSTEMS",291.70,242.53,13.80,0.00,4.43,393.00,200.10,66.13,250,3045121
1065,GKWLIMITED,"GKW",2085.87,1758.50,22.95,0.00,4.43,4149.90,1371.00,133.23,250,4443393
1066,ARMANFIN,"ARMAN FIN SERV",1453.80,1622.10,16.93,1.18,4.43,1834.60,1109.95,49.85,250,4419329
1067,GPECO-ST,"GP ECO SOLUTIONS INDIA L",369.03,561.90,20.06,0.00,4.43,616.50,212.20,109.56,250,6172929
1068,ATL,"ALLCARGO TERMINALS",31.89,35.15,16.26,1.58,4.43,43.00,21.21,68.33,250,4551169
1069,ZOTA,"ZOTA HEALTH CARE",960.96,1465.00,13.25,0.73,4.43,1577.00,535.00,108.43,250,2916865
1070,10SCL30A-BV,"10SCL30A-BV",899.89,884.00,47.92,0.00,4.43,1065.00,576.00,54.34,57,4830209
1071,PSFL-SM,"PARAMOUNT SPECIALI FORG L",53.48,35.50,18.75,0.00,4.43,84.50,34.25,93.97,242,6510337
1072,PREMIERENE,"PREMIER ENERGIES",1051.07,1021.40,16.96,1.20,4.43,1388.00,774.05,58.41,250,6412545
1073,APTECHT,"APTECH",151.06,119.00,17.19,1.30,4.42,219.70,107.00,74.61,250,2753281
1074,TOKYOPLAST,"TOKYO PLAST INTL",125.06,121.11,16.36,0.61,4.42,161.00,106.24,43.79,250,982273
1075,GREENLAM,"GREENLAM INDUSTRIES",253.27,251.71,12.85,1.09,4.42,312.00,197.42,45.24,250,1753089
1076,TPLPLASTEH,"TPL PLASTECH",85.90,71.01,18.96,1.26,4.42,115.37,60.01,64.45,250,2360065
1077,UFO,"UFO MOVIEZ INDIA",83.34,71.80,16.57,1.16,4.42,131.30,59.95,85.61,250,2313985
1078,PUSHPA-SM,"PUSHPA JEWELLERS",134.35,130.50,12.40,0.00,4.42,148.00,106.40,30.96,67,193966849
1079,PASUPTAC,"PASUPATI ACRYLON",46.45,44.32,16.71,0.00,4.42,59.71,38.55,45.55,250,1547521
1080,FELIX-SM,"FELIX INDUSTRIES",175.39,195.00,15.68,0.00,4.42,251.00,108.00,81.53,250,146689
1081,MONARCH,"MONARCH NETWORTH CAP",364.53,312.75,14.04,1.53,4.42,495.00,294.50,55.00,250,1965825
1082,MANCREDIT,"MANGAL CREDIT N FINCORP L",168.71,180.20,17.86,0.96,4.42,215.75,131.65,49.85,250,6354689
1083,BIRLAMONEY,"ADITYA BIRLA MONEY",178.86,175.36,18.93,0.00,4.42,303.72,131.27,96.42,250,3901185
1084,AKI-BE,"AKI INDIA",11.29,8.80,15.87,0.00,4.42,21.90,6.63,135.27,250,3813121
1085,DSSL,"DYNACONS SYS & SOLN",1143.72,950.00,16.31,1.06,4.41,1618.20,820.55,69.74,250,6576641
1086,PTCIL,"PTC INDUSTRIES",13773.98,16241.00,11.78,0.00,4.41,17995.00,9756.30,59.81,250,4270593
1087,BHARATGEAR-BE,"BHARAT GEARS",91.28,116.35,18.86,1.20,4.41,154.20,64.80,97.94,250,2405633
1088,ELECON,"ELECON ENG. CO.",574.20,558.50,15.60,1.33,4.41,739.10,376.95,63.07,250,3492609
1089,TDPOWERSYS,"TD POWER SYSTEMS",450.93,600.10,12.43,1.20,4.41,659.75,293.00,81.33,250,6445569
1090,SILKY-SM,"SILKY OVERSEAS",127.31,123.00,18.26,0.00,4.41,171.00,103.00,53.41,59,193965825
1091,ZAGGLE,"ZAGGLE PREPA OCEAN SER L",414.54,359.00,10.21,0.00,4.41,591.90,298.65,70.74,250,4763649
1092,SWELECTES,"SWELECT ENERGY SYS",777.42,933.00,20.88,0.00,4.41,1278.80,461.10,105.18,250,3048705
1093,DECCANCE,"DECCAN CEMENTS",800.53,1009.20,20.40,1.20,4.41,1164.90,549.80,76.84,250,3798529
1094,CREATIVE,"CREATIVE NEWTECH",766.87,620.00,15.94,1.27,4.41,1075.00,605.10,61.27,250,2855681
1095,MMEL-SM,"MOVING MEDIA ENTER",71.58,63.00,19.84,0.00,4.41,84.45,62.00,31.37,68,193999361
1096,GMRP&UI,"GMR POW AND URBAN INFRA L",114.14,112.06,13.70,0.00,4.41,142.80,89.36,46.82,250,2183425
1097,HEXATRADEX,"HEXA TRADEX",214.33,174.50,10.08,0.25,4.41,331.60,172.10,74.42,250,6914049
1098,VHL,"VARDHMAN HOLDINGS",3975.82,3897.90,21.39,0.66,4.41,5760.00,2850.00,73.19,250,3044353
1099,NIRMAN-SM,"NIRMAN AGRI GENTICS",262.67,194.50,13.55,0.00,4.41,456.00,130.10,124.07,249,3768833
1100,GEOJITFSL,"GEOJIT FINANCIAL SER L",90.68,78.44,13.16,1.17,4.41,153.00,60.73,101.75,250,3045377
1101,VAKRANGEE,"VAKRANGEE",16.31,8.19,12.94,0.00,4.41,38.20,7.99,185.21,250,3415553
1102,BIRLACABLE,"BIRLA CABLE",179.94,158.00,17.78,1.18,4.40,247.95,125.35,68.13,250,122113
1103,FILATEX,"FILATEX INDIA",52.93,54.00,12.68,1.73,4.40,73.39,34.00,74.43,250,6280193
1104,SUYOG,"SUYOG TELEMATICS",1165.98,760.00,27.21,0.00,4.40,1968.20,736.15,105.67,250,6361857
1105,PIXTRANS,"PIX TRANSMISSIONS",1731.66,1445.50,13.03,0.98,4.40,2799.95,1220.10,91.23,250,2326273
1106,SELLOWRAP-SM,"SELLOWRAP INDUSTRIES",101.60,101.00,15.26,0.00,4.40,139.65,85.05,53.74,46,194043393
1107,KOPRAN,"KOPRAN",197.01,173.10,23.94,1.14,4.40,329.00,154.06,88.80,250,491265
1108,NAHARINDUS,"NAHAR INDS ENT",123.04,118.30,16.40,0.78,4.40,160.90,88.80,58.60,250,3355137
1109,ORCHPHARMA,"ORCHID PHARMA",1043.97,746.80,21.23,0.00,4.40,1997.40,603.80,133.49,250,237057
1110,AGARWALEYE,"DR AGARWALS HEALTH CARE L",420.00,535.00,14.34,1.48,4.40,543.20,327.00,51.48,169,7539713
1111,STLTECH,"STERLITE TECHNOLOGIES",72.05,116.86,16.69,1.13,4.40,140.40,30.45,152.61,250,2383105
1112,DTIL,"DHUNSERI TEA & IND.",213.03,182.90,17.43,0.86,4.40,314.00,166.65,69.17,250,1594113
1113,BOROSCI,"BOROSIL SCIENTIFIC",152.35,138.15,17.78,1.23,4.40,199.50,107.42,60.44,250,6147585
1114,PARKHOTELS,"PARKHOTELS",161.25,155.00,11.35,0.95,4.39,206.20,129.00,47.88,250,5798145
1115,MANGCHEFER,"MANG.CHEM.FERT.LTD",222.03,317.65,12.50,1.18,4.39,373.15,121.20,113.48,250,3841793
1116,MAXPOSURE-SM,"MAXPOSURE",69.78,55.95,19.90,0.00,4.39,114.00,49.60,92.28,243,5552897
1117,KLL-SM,"KAUSHALYA LOGISTICS",88.80,60.00,19.27,0.00,4.39,143.00,52.20,102.25,249,5423617
1118,NDL,"NANDAN DENIM",4.15,3.23,16.89,0.00,4.39,6.37,3.05,79.95,250,8002049
1119,REFEX,"REFEX INDUSTRIES",437.73,356.85,15.59,0.92,4.39,572.00,334.00,54.37,250,4547585
1120,NEOGEN,"NEOGEN CHEMICALS",1754.09,1504.80,12.50,1.27,4.39,2420.00,1390.00,58.72,250,2538753
1121,645GS2029-GS,"GOI LOAN 6.45% 2029",91.36,92.01,10.53,0.04,4.39,98.05,87.67,11.36,5,3448833
1122,GENUSPOWER,"GENUS POWER INFRASTRU",349.01,308.80,12.90,1.18,4.39,486.05,236.85,71.40,250,3047681
1123,SEMAC-BE,"SEMAC CONSTRUCTION",410.18,501.75,9.92,0.00,4.39,568.90,270.00,72.87,250,3062785
1124,ROHLTD,"ROYAL ORCHID HOTELS",389.79,514.90,17.19,1.17,4.39,593.40,301.10,74.99,250,3374593
1125,NGLFINE,"NGL FINE CHEM",1438.35,1530.00,14.40,0.00,4.38,2178.90,957.00,84.95,250,2630913
1126,TALBROAUTO,"TALBROS AUTO. COMP.",283.40,292.50,16.18,1.08,4.38,352.70,200.20,53.81,250,3493889
1127,MURUDCERA,"MURUDESHWAR CERAMICS",43.29,42.27,12.67,1.30,4.38,57.98,29.92,64.81,250,592129
1128,BDL,"BHARAT DYNAMICS",1413.25,1528.30,13.48,1.34,4.38,2096.60,890.00,85.38,250,548865
1129,INFIBPP-E1,"INFIBEAM RE.0.5 PPD UP",9.85,12.41,15.52,1.70,4.38,12.89,8.65,43.03,58,194033409
1130,GROWWN200,"GROWWAMC - GROWWN200",10.99,11.43,26.51,1.05,4.38,12.45,9.00,31.40,152,7647233
1131,RNFI-SM,"RNFI SERVICES",239.53,337.00,17.46,0.00,4.38,404.00,109.80,122.82,244,6294785
1132,ROSSELLIND,"ROSSELL INDIA",71.94,63.31,19.70,0.00,4.38,104.50,53.30,71.17,250,7401729
1133,CREDITACC,"CREDITACCESS GRAMEEN",1100.42,1386.00,29.19,0.94,4.38,1430.00,750.20,61.78,250,1131777
1134,PRIVISCL,"PRIVI SPECIALITY CHE",2020.66,2521.00,19.16,1.32,4.38,2660.00,1368.15,63.93,250,2259201
1135,ABAN-BE,"ABAN OFFSHORE",50.07,40.45,12.27,0.00,4.38,72.70,35.32,74.65,250,1986305
1136,DREDGECORP,"DREDGING CORP OF INDIA",723.65,622.00,15.01,0.00,4.38,1210.75,495.00,98.91,250,2885377
1137,THYROCARE,"THYROCARE TECH",978.02,1269.00,14.44,1.21,4.38,1435.00,658.00,79.45,250,4360193
1138,RICOAUTO,"RICO AUTO INDUSTRIES",81.49,89.75,17.31,1.44,4.38,113.28,54.00,72.75,250,744705
1139,TIMETECHNO,"TIME TECHNOPLAST",210.65,221.24,15.49,1.41,4.38,256.80,153.30,49.13,250,3764993
1140,ASTEC,"ASTEC LIFESCIENCES",876.10,769.80,17.97,0.53,4.38,1254.25,629.80,71.28,250,4538369
1141,NAVA,"NAVA",522.51,625.00,16.88,1.19,4.38,735.00,356.05,72.52,250,1027585
1142,PARACABLES,"PARAMOUNT COMM",60.33,44.76,13.08,1.69,4.38,90.10,43.15,77.82,250,3571457
1143,GVT&D,"GE VERNOVA T&D INDIA",2062.25,3011.60,9.19,0.00,4.38,3204.90,1254.00,94.60,250,4296449
1144,ZIMLAB,"ZIM LABORATORIES",96.31,71.11,21.90,1.04,4.38,128.00,69.10,61.15,250,3170305
1145,TIRUMALCHM,"THIRUMALAI CHEMICALS",287.21,278.05,16.70,1.26,4.38,394.95,201.27,67.43,250,894977
1146,NDTV,"NDTV",116.99,105.20,19.57,1.00,4.37,151.93,85.02,57.19,250,2925313
1147,JISLJALEQS,"JAIN IRRIGATION SYSTEMS",60.31,50.86,16.01,1.15,4.37,83.40,45.10,63.50,250,2661633
1148,S&SPOWER,"S&S POWER SWITCHGEARS",383.20,354.95,18.76,0.00,4.37,493.75,224.45,70.28,250,755457
1149,SJLOGISTIC-SM,"S J LOGISTICS (INDIA)",520.90,373.20,16.27,0.00,4.37,725.00,350.00,71.99,250,5258753
1150,ANNAPURNA-SM,"ANNAPURNA SWADISHT",312.41,254.10,16.22,0.54,4.37,441.00,228.00,68.18,250,2866689
1151,EKC,"EVEREST KANTO CYLINDERLTD",150.64,141.21,14.42,1.20,4.37,231.57,103.00,85.35,250,3351297
1152,ALANKIT,"ALANKIT",17.12,12.66,15.30,0.77,4.37,25.57,11.93,79.67,250,2539777
1153,DAVANGERE,"DAVANGERE SUGAR COMPANY L",4.47,3.68,19.57,0.68,4.37,6.79,3.03,84.15,250,5579265
1154,MOTILALOFS,"MOTILAL OSWAL FIN",825.09,967.50,16.11,1.34,4.36,1064.00,513.00,66.78,250,3826433
1155,FOCUS,"FOCUS LIGHTG & FIXTRS",104.49,85.90,10.87,0.00,4.36,144.00,63.78,76.77,250,1750017
1156,RUBYMILLS,"THE RUBY MILLS",227.75,222.35,16.08,0.98,4.36,323.95,171.78,66.82,250,752385
1157,IGCL,"INDOGULF CROPSCIENCES",108.08,108.81,10.26,1.58,4.36,122.00,97.99,22.21,69,193997057
1158,OPTIVALUE-SM,"OPTIVALUE TEK CONSULT",100.18,91.50,8.45,1.39,4.36,107.55,88.40,19.12,22,194278401
1159,EFFWA-SM,"EFFWA INFRA & RESEARCH L",223.08,221.20,12.82,0.00,4.36,272.95,147.55,56.21,250,6255361
1160,AMBER,"AMBER ENTERPRISES (I)",6788.84,8278.50,16.77,1.09,4.36,8497.00,5005.00,51.44,250,303361
1161,EPACK,"EPACK DURABLE",399.63,353.50,11.00,0.00,4.36,669.95,316.00,88.57,250,5750529
1162,KRITIKA,"KRITIKA WIRES",10.20,8.47,16.80,0.00,4.36,15.24,7.49,76.01,250,2377729
1163,MAZDA,"MAZDA",273.08,292.55,19.04,0.00,4.36,428.90,205.00,81.99,250,4829697
1164,JWL,"JUPITER WAGONS",394.30,334.40,17.20,1.06,4.36,588.00,270.05,80.64,250,5177345
1165,REDINGTON,"REDINGTON",240.65,287.80,16.42,1.56,4.36,334.80,158.61,73.21,250,3649281
1166,ADFFOODS,"ADF FOODS",260.24,202.90,12.71,1.13,4.36,353.95,200.10,59.12,250,5058817
1167,VOLERCAR-ST,"VOLER CAR",129.05,230.00,19.46,0.00,4.35,242.00,77.40,127.54,151,7593217
1168,RTNINDIA,"RATTANINDIA ENT",55.61,51.90,16.91,1.28,4.35,77.59,37.42,72.24,250,6988033
1169,NSIL,"NALWA SONS INVESTMENT",6877.53,7717.00,18.76,0.00,4.35,9974.00,4600.00,78.14,250,2877185
1170,JAYBARMARU-BE,"JAYBHARATMARU-",81.06,98.44,17.59,1.07,4.35,111.85,55.50,69.51,250,2161665
1171,SVLL-BE,"SHREE VASU LOGISTICS",541.52,783.00,10.53,0.00,4.35,855.70,261.70,109.69,250,3872257
1172,BANSWRAS,"BANSWARA SYNTEX",137.77,126.57,12.02,1.15,4.35,178.80,112.60,48.05,250,3714817
1173,SBC,"SBC EXPORTS",16.54,22.70,21.49,1.27,4.35,23.23,10.95,74.23,250,1738753
1174,PENTAGON-SM,"PENTAGON RUBBER",72.12,68.05,18.06,0.00,4.35,110.50,50.55,83.12,244,4385793
1175,AARVI,"AARVI ENCON",120.35,123.84,16.85,0.99,4.35,168.00,88.00,66.47,250,4882689
1176,LOKESHMACH,"LOKESH MACHINES",237.65,191.00,16.64,0.00,4.35,447.90,127.93,134.64,250,3439617
1177,ELDEHSG,"ELDECO HSG & IND",796.61,800.00,18.60,0.85,4.34,998.90,658.10,42.78,250,2291969
1178,REMUS-SM,"REMUS PHARMACEUTICALS L",1033.91,686.00,17.81,0.16,4.34,1385.50,636.10,72.48,250,4135425
1179,EMIL,"ELECTRONICS MART IND",147.32,144.00,18.03,1.51,4.34,225.50,111.11,77.65,250,2951681
1180,NECLIFE-BE,"NECTAR LIFESCIENCES",26.44,14.10,19.19,0.00,4.34,44.41,13.05,118.59,250,3054081
1181,POSITRON-SM,"POSITRON ENERGY",327.15,333.00,18.67,0.00,4.34,420.00,225.00,59.61,250,6365185
1182,NOVAAGRI,"NOVA AGRITECH",54.58,46.74,16.79,1.27,4.34,75.50,40.40,64.31,250,5754113
1183,DBEIL,"DEEPAK BUILDERS & ENG I L",152.96,165.41,24.38,0.81,4.34,214.00,128.50,55.90,238,6628353
1184,VENTIVE,"VENTIVE HOSPITALITY",727.28,711.10,13.35,1.08,4.34,840.00,523.40,43.53,196,7384833
1185,SPCL-SM,"SHIVALIC POWER CONTROL L",156.28,99.00,11.89,0.00,4.34,279.00,93.00,119.02,250,6207745
1186,MOREPENLAB,"MOREPEN LAB.",62.66,49.94,19.63,1.43,4.33,94.45,42.00,83.71,250,578305
1187,JUNIPER,"JUNIPER HOTELS",304.51,267.70,11.72,1.57,4.33,398.00,224.30,57.04,250,5842945
1188,MOS-SM,"MOS UTILITY",53.94,49.80,22.37,0.00,4.33,64.35,38.15,48.58,246,3853057
1189,SAKSOFT,"SAKSOFT",200.30,194.98,15.30,1.20,4.33,255.00,125.03,64.89,250,3019265
1190,MARKSANS,"MARKSANS PHARMA",242.61,181.50,18.41,1.09,4.33,358.70,162.00,81.08,250,2708225
1191,SASKEN,"SASKEN TECHNOLOGIES",1656.52,1396.00,14.95,1.24,4.33,2399.80,1276.00,67.84,250,3067649
1192,FACT,"FACT",884.03,894.00,17.10,1.10,4.33,1112.00,565.00,61.88,250,258049
1193,RPGLIFE,"RPG LIFE SCIENCES",2298.81,2323.40,12.60,1.09,4.33,2974.95,1835.00,49.59,250,4281601
1194,SUPERHOUSE,"SUPERHOUSE",179.47,160.80,15.64,0.78,4.33,237.99,129.53,60.43,250,5277697
1195,BARBEQUE,"BARBEQUE NATION HOSP.",353.51,225.00,14.72,0.97,4.33,712.00,219.15,139.42,250,800513
1196,RADIOCITY,"MUSIC BROADCAST",10.43,8.35,16.32,0.96,4.33,16.29,7.70,82.32,250,5088513
1197,IPL,"INDIA PESTICIDES",183.59,205.60,13.08,0.83,4.33,245.84,119.79,68.66,250,1263105
1198,BORORENEW,"BOROSIL RENEWABLES",534.13,642.00,12.70,0.00,4.32,659.90,402.80,48.13,250,806145
1199,SARDAEN,"SARDA ENERGY & MIN",483.76,567.50,15.97,1.27,4.32,639.75,396.60,50.26,250,4546049
1200,SHRADHA,"SHRADHA INFRAPROJECTS",59.14,49.00,20.23,0.00,4.32,89.11,43.06,77.87,250,181249
1201,PICCADIL,"PICCADILY AGRO INDUSTRI L",634.72,657.50,14.42,1.37,4.32,805.50,569.10,37.24,70,193985025
1202,SANDUMA,"SANDUR MANG & IRON ORES L",152.62,204.74,15.99,1.03,4.32,214.10,112.40,66.64,250,4699905
1203,PCCL-SM,"PETRO CARBON AND CHEMI L",190.73,175.10,18.32,0.06,4.32,273.60,150.00,64.80,249,6218241
1204,WOMANCART-SM,"WOMANCART",284.02,244.00,13.07,0.00,4.32,437.15,211.15,79.57,238,5024513
1205,ITDC,"INDIA TOUR. DEV. CO.",596.98,629.65,17.94,1.36,4.32,739.95,467.05,45.71,250,4940545
1206,EMAMIREAL,"EMAMI REALTY",110.89,102.90,10.35,0.00,4.32,157.16,72.87,76.01,217,4934913
1207,MIRZAINT,"MIRZA INTERNATIONAL LIMIT",34.46,39.92,17.96,0.97,4.32,45.00,25.03,57.96,250,1124865
1208,INTELLECT,"INTELLECT DESIGN ARENA",903.35,1007.95,16.29,1.36,4.32,1255.00,577.40,75.01,250,1517057
1209,VADILALIND,"VADILAL INDUSTRIES",4830.87,5321.00,14.16,1.14,4.32,7398.50,3414.05,82.48,250,6194177
1210,UGARSUGAR,"THE UGAR SUGAR WORKS",53.62,43.40,15.98,0.86,4.32,86.24,38.91,88.27,250,5011969
1211,VISHNU,"VISHNU CHEMICALS",462.78,489.65,13.10,1.06,4.32,595.80,336.00,56.14,250,1768449
1212,IEML-SM,"INDIAN EMULSIFIERS",154.91,118.85,20.19,0.00,4.31,269.80,85.75,118.81,249,6089985
1213,ASIANTILES,"ASIAN GRANITO IND.",59.27,58.28,13.76,1.27,4.31,81.70,39.15,71.79,250,3811585
1214,SMARTLINK,"SMARTLINK HOLDINGS",168.65,148.59,11.96,0.00,4.31,267.00,119.50,87.46,250,2531585
1215,GREENPANEL,"GREENPANEL INDUSTRIES",301.45,309.00,16.84,1.54,4.31,427.00,202.81,74.37,250,3535361
1216,EXCELINDUS,"EXCEL INDUSTRIES",1231.79,1148.00,17.25,1.03,4.31,1760.00,799.10,78.01,250,2936577
1217,VISAKAIND,"VISAKA INDUSTRIES",82.93,83.69,18.73,0.84,4.31,111.29,55.05,67.82,250,1080577
1218,ARTEMISMED,"ARTEMIS MED SERVICE",269.41,240.00,15.75,1.09,4.31,350.00,207.71,52.81,250,4329729
1219,DHRUV,"DHRUV CONSULTANCY SER",88.46,51.00,10.53,0.00,4.31,168.33,50.50,133.20,250,1755649
1220,LANDMARK,"LANDMARK CARS",535.79,579.90,15.85,1.17,4.31,703.00,329.80,69.65,250,3398657
1221,GRAVITA,"GRAVITA INDIA",1908.83,1638.40,20.98,0.97,4.31,2609.85,1379.65,64.45,250,5256705
1222,DHUNINV,"DHUNSERI INVESTMENTS",1699.37,1418.90,18.70,0.78,4.31,2562.00,1361.00,70.67,250,5691649
1223,20MICRONS,"20 MICRONS",226.82,212.98,15.74,0.00,4.31,321.00,158.20,71.78,250,4331777
1224,BAFNAPH-BE,"BAFNA PHARMACEUTICALS",87.43,159.22,12.70,0.00,4.31,176.33,69.00,122.75,249,4540161
1225,SUBROS,"SUBROS",735.51,1124.60,18.50,1.01,4.31,1213.70,518.00,94.59,250,850945
1226,BROOKS,"BROOKS LAB",141.98,125.30,20.20,0.00,4.30,198.86,95.55,72.76,250,6434817
1227,PRLIND-SM,"PREMIER ROADLINES",100.58,82.50,20.80,0.00,4.30,139.00,78.20,60.45,249,6083585
1228,UNITEDPOLY-BE,"UNITED POLYFAB GUJ.",20.52,45.38,12.96,0.00,4.30,51.16,10.40,198.62,250,1936385
1229,OSELDEVICE-ST,"OSEL DEVICES",312.94,619.85,17.53,0.00,4.30,657.80,175.00,154.28,250,6499585
1230,SENCO,"SENCO GOLD",418.81,326.00,14.26,0.00,4.30,731.30,227.40,120.32,250,4421377
1231,TECHLABS-SM,"TRIDENT TECHLABS",770.41,489.00,10.47,0.00,4.30,1670.00,401.05,164.71,250,5395969
1232,ALLTIME,"ALL TIME PLASTICS",286.34,272.00,15.65,1.49,4.30,334.90,256.80,27.28,39,194162689
1233,NILASPACES-BE,"NILA SPACES",13.67,19.00,17.43,0.00,4.30,20.47,10.21,75.04,250,1907201
1234,AMANTA,"AMANTA HEALTHCARE",139.69,134.71,6.96,1.90,4.30,154.40,132.00,16.04,23,194280705
1235,TATVA,"TATVA CHIN PHARM CHEM",884.44,1080.10,16.04,1.16,4.29,1232.75,621.00,69.17,250,1321473
1236,INDBANK,"INDBANK MERCH BANK",36.98,43.58,18.94,1.15,4.29,53.00,25.50,74.36,250,4334849
1237,BALPHARMA,"BAL PHARMA",104.03,82.81,15.23,0.00,4.29,140.95,78.06,60.45,250,3440897
1238,RAJOOENG,"RAJOO ENGINEERS",109.16,94.13,16.40,0.00,4.29,145.88,79.97,60.38,94,193804545
1239,RAMKY,"RAMKY INFRA",552.05,626.40,17.34,1.29,4.29,705.00,402.25,54.84,250,5154305
1240,SHAKTIPUMP,"SHAKTI PUMPS (I)",899.21,815.15,14.97,0.00,4.29,1387.00,691.70,77.32,250,6546945
1241,SADHAV-SM,"SADHAV SHIPPING",120.35,110.00,17.19,0.00,4.29,175.10,76.95,81.55,250,5861633
1242,ELECTCAST,"ELECTROSTEEL CASTINGS",120.53,94.03,13.56,1.46,4.29,209.00,86.25,101.85,250,237569
1243,UNIECOM,"UNICOMMERCE ESOLUTIONS L",145.34,136.55,14.52,1.21,4.28,223.90,96.03,87.98,250,6351105
1244,MUFTI,"CREDO BRANDS MARKETING L",147.87,115.99,16.73,1.27,4.28,208.76,105.00,70.17,250,5344769
1245,INDIAGLYCO,"INDIA GLYCOLS",748.34,939.80,11.31,1.45,4.28,1069.00,503.50,75.57,250,389377
1246,ACCENTMIC-ST,"ACCENT MICROCELL",242.27,254.00,17.11,0.00,4.28,324.00,170.25,63.46,250,5246977
1247,1003SCFL31-Z4,"1003SCFL31-Z4",905.78,995.00,11.78,0.00,4.28,999.00,799.65,22.01,5,5968641
1248,PPSL-ST,"PICTUREPOST STUDIOS",26.92,13.90,23.28,0.00,4.28,45.60,11.55,126.48,242,6346497
1249,TBOTEK,"TBO TEK",1446.95,1563.00,14.73,1.49,4.28,1845.55,996.00,58.71,250,6077441
1250,VIVIANA-SM,"VIVIANA POWER TECH",1020.11,1596.00,17.00,0.00,4.28,1809.95,598.00,118.81,249,2807553
1251,SHARDAMOTR,"SHARDA MOTOR INDS",955.00,1060.00,18.21,1.46,4.28,1248.00,625.00,65.24,250,2695681
1252,CHETANA-SM,"CHETANA EDUCATION",89.69,73.50,18.19,0.00,4.28,129.00,70.00,65.78,234,6304001
1253,DENORA,"DE NORA INDIA",962.28,803.70,13.28,1.26,4.28,1560.00,676.00,91.87,250,1095425
1254,850SCL25A-NW,"850SCL25A-NW",953.44,999.00,8.56,0.00,4.28,999.00,830.20,17.70,2,1500929
1255,SAGILITY,"SAGILITY",43.40,46.36,13.37,0.00,4.28,56.40,27.02,67.70,227,6925313
1256,CANTABIL,"CANTABIL RETAIL",257.59,244.70,11.93,1.31,4.28,334.00,211.01,47.75,250,5160961
1257,GOKEX,"GOKALDAS EXPORTS",899.80,783.15,13.85,1.11,4.27,1262.15,668.10,66.02,250,3015169
1258,UCAL,"UCAL",156.60,135.90,15.04,1.63,4.27,252.40,125.00,81.35,250,913921
